time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,class
2.172050641,495550,3536,116823,131003,42665891,79993142,vgg16
2.182222538,494830,3431,116479,130198,42624183,79854021,vgg16
2.192336312,5016024,165761,684685,1311560,41913430,37336079,vgg16
2.202558207,2872835,49955,1616364,2179501,41868438,14521540,vgg16
2.212777814,1051406,1514,2125690,2586440,42663167,5673465,vgg16
2.223018183,1055467,1338,2157656,2621266,42694541,5687044,vgg16
2.233256739,1066066,1323,2144227,2609486,42597197,5755437,vgg16
2.243486447,1050106,1355,2152043,2608894,42853926,5659192,vgg16
2.253753057,1071249,1354,2145687,2624918,42761869,5785361,vgg16
2.263996785,1046677,1330,2137973,2600120,42697840,5638017,vgg16
2.274226771,1067317,1342,2151298,2620389,42658632,5762624,vgg16
2.284384807,1397027,13789,1977538,2428251,42395827,7294533,vgg16
2.294621805,1480170,11862,1972536,2434030,42740411,7779845,vgg16
2.304842354,5064422,45090,1152940,1573835,42640326,29986556,vgg16
2.315063476,2133969,3961,307024,482536,42689265,13727499,vgg16
2.325258172,1140868,923,149027,261884,42650288,7593220,vgg16
2.33544549,1143758,826,149470,261113,42683777,7603399,vgg16
2.345636917,1142254,868,149102,262539,42678126,7598126,vgg16
2.355816493,1143034,848,149418,261966,42647460,7601464,vgg16
2.365999622,1120807,827,146562,256915,41909429,7453525,vgg16
2.376131289,1149353,983,149985,265203,41645927,7644207,vgg16
2.3863089,1136031,906,148376,260476,42520514,7558654,vgg16
2.396512768,1136269,870,148714,261890,42637510,7556309,vgg16
2.406701522,1178851,1055,153802,271126,42495574,7840769,vgg16
2.416877431,1142255,934,149380,263345,42606405,7594566,vgg16
2.427068231,1143552,867,149524,261796,42699641,7604913,vgg16
2.437244412,1139559,846,148907,261327,42614908,7584252,vgg16
2.447429907,1134495,868,148327,260384,42596981,7544417,vgg16
2.457619826,1142577,840,149497,262442,42674521,7601897,vgg16
2.467804843,1143009,875,149376,261494,42679124,7601490,vgg16
2.477991041,1140306,875,148912,260536,42657898,7589467,vgg16
2.488188587,1142387,849,149052,261159,42717575,7597794,vgg16
2.498386228,1144009,855,149507,261360,42693210,7610223,vgg16
2.508568588,1144261,835,149579,262124,42664555,7609594,vgg16
2.518755705,1144492,828,149373,261644,42688950,7612711,vgg16
2.528938066,1143502,850,149347,261783,42667291,7606652,vgg16
2.539117503,1142725,809,149189,261792,42654056,7603408,vgg16
2.549297818,1140185,842,148948,261379,42632178,7582403,vgg16
2.559483324,1142892,833,149363,261452,42681758,7605731,vgg16
2.569671004,1141811,848,149275,261450,42659178,7593487,vgg16
2.579850683,1142536,829,149231,261678,42656404,7600837,vgg16
2.590025324,1142218,844,149058,261362,42635168,7596533,vgg16
2.600205394,1142872,831,149197,261993,42659915,7600924,vgg16
2.610387285,1143474,844,149320,261646,42664777,7607143,vgg16
2.620568321,1131471,834,147626,259158,42558594,7530108,vgg16
2.630747271,1142269,922,149175,262219,42613343,7594967,vgg16
2.640919602,1142485,860,149187,261676,42625303,7600375,vgg16
2.651097084,1138606,863,149055,261008,42618784,7572523,vgg16
2.66126985,1139966,889,148840,262217,42538102,7583931,vgg16
2.671443666,1141574,875,149158,261467,42623549,7590974,vgg16
2.681624022,1143175,844,149406,261884,42658648,7604087,vgg16
2.691711199,1128984,869,147408,259282,42207973,7508973,vgg16
2.701890584,1142854,832,149273,261520,42654078,7603844,vgg16
2.712078725,1140986,839,149177,261370,42665563,7591199,vgg16
2.722262945,1143976,828,149272,261250,42676175,7609749,vgg16
2.732455389,1144534,840,149557,262338,42709661,7614400,vgg16
2.742628129,1141209,825,149340,261061,42625624,7591014,vgg16
2.752814528,1141476,844,149170,261433,42658761,7596520,vgg16
2.762995589,1142768,828,149467,261246,42664094,7601126,vgg16
2.773176447,1142697,840,149429,261801,42661097,7600746,vgg16
2.783362101,1144123,864,149321,261498,42680847,7613352,vgg16
2.79353357,1142085,869,148985,261165,42623555,7598500,vgg16
2.80372653,1144034,854,149395,262956,42712419,7611033,vgg16
2.813901327,14996920,38488,85568,216868,42662257,101520060,vgg16
2.824105804,2856787,10099,154521,277449,42700278,19513250,vgg16
2.834302418,1141663,877,148815,261641,42713726,7606649,vgg16
2.844486274,1141680,876,148709,263143,42670959,7604079,vgg16
2.854659311,1137135,855,148313,260591,42601765,7575562,vgg16
2.864853649,1143380,871,148438,263279,42716053,7621407,vgg16
2.875039411,1142400,856,148223,261499,42682496,7610686,vgg16
2.885213406,1139324,844,148326,262109,42632274,7591579,vgg16
2.89539685,1140810,846,148267,261201,42673383,7599363,vgg16
2.905589555,7238049,39013,573335,819137,42723499,45740901,vgg16
2.915766306,8260149,291240,266574,718608,42599470,51472500,vgg16
2.925989466,10081561,195737,292939,948862,42746214,44188710,vgg16
2.936119359,8134010,272622,227683,1056509,43537848,38614744,vgg16
2.946429579,203133,8311,12797,26007,1256490,899347,vgg16
2.956668156,559978,18673,45067,60824,3200904,2594046,vgg16
2.966878213,11050554,253448,184180,584213,39419137,48816789,vgg16
2.977088567,15098027,238920,211900,420396,42148337,71239642,vgg16
2.987300642,11990371,315145,139638,905231,42617963,56386696,vgg16
2.997513527,9779410,348262,51148,1336561,42787998,45989389,vgg16
3.007720385,9712047,348657,46827,1328597,42702538,45735822,vgg16
3.017922368,14685006,246868,99325,403017,42713143,68417926,vgg16
3.028143184,16946839,239990,47004,236555,42824102,77207537,vgg16
3.038339707,16164473,190497,166554,485533,53818395,93509840,vgg16
3.04855031,17292505,66927,24160,29174,42710158,131215053,vgg16
3.058726442,17413225,56918,26470,37136,42882582,132267763,vgg16
3.0688231,16093619,49747,532212,1289642,140505339,193230937,vgg16
3.079032437,7311794,20446,633689,1346381,249057265,275399505,vgg16
3.089244433,3927026,19147,563166,1425840,278374017,271194181,vgg16
3.099488104,3690868,23177,916712,2781680,263852615,232593516,vgg16
3.10980748,2696804,16258,927779,2976902,278508555,241594019,vgg16
3.120048818,2855321,19583,783838,3180045,273158098,235264420,vgg16
3.130269908,2836376,21958,450671,3257537,268716311,241158264,vgg16
3.140499462,3013818,21886,508499,3258681,266215561,236347866,vgg16
3.150753843,4278930,45173,773989,5361174,197664112,181535062,vgg16
3.161002183,1237485,3496,1143602,3896579,40964027,44924117,vgg16
3.171237077,2171563,45940,875525,2341735,40643519,30130048,vgg16
3.181461515,6714916,141839,933545,1416312,33858912,22606750,vgg16
3.191597973,8843907,195502,965807,1490024,36673408,30359769,vgg16
3.201847128,2405217,79300,728881,1045855,31404031,8085760,vgg16
3.212039808,1715129,36148,558348,819311,29329887,6925760,vgg16
3.222268631,4225260,77107,760625,1155080,32330542,15048286,vgg16
3.23245346,4980475,116979,815182,1215650,35255623,19035967,vgg16
3.242681707,5480761,112503,1089909,1737480,33583521,20941059,vgg16
3.252931505,2608120,61963,800756,1309237,30976293,9451759,vgg16
3.263171002,841309,27188,731980,1102543,28337577,2797981,vgg16
3.273414093,4392109,106555,580917,939931,33296076,16484085,vgg16
3.283672592,7009673,144213,767682,1202185,38267360,27352713,vgg16
3.293928922,4184290,96548,1018630,1589670,31668166,14401010,vgg16
3.304184716,3413490,79175,816266,1333090,33956080,13375640,vgg16
3.314438605,1762313,27173,650303,1124571,31756421,6458048,vgg16
3.324674137,3290010,68498,892958,1493670,32992765,12587545,vgg16
3.334922678,2195350,49841,541598,929243,32212313,9010352,vgg16
3.345173171,7461073,201679,808826,1298814,38103625,28275214,vgg16
3.355405827,13155458,155642,541566,961220,39877928,74223283,vgg16
3.365639173,13869273,52374,316456,458514,38251351,88733163,vgg16
3.375803052,18099380,66218,229865,462465,41579584,116504867,vgg16
3.376448102,392148,3349,18957,32524,2144874,2524814,vgg16
0.010151864,8697397,354297,112198,382271,30514424,39859595,vgg16
0.020326156,13109672,492777,85145,586599,42328400,59785933,vgg16
0.030520206,10679741,220429,222897,628282,41967550,63973822,vgg16
0.040728797,10620354,105886,484456,999025,42492772,63339283,vgg16
0.05093825,11168536,135383,161901,695513,42520899,74303123,vgg16
0.061149494,10470460,118210,182854,638124,42456779,71284664,vgg16
